Workplace,Prob
1,0.066666667
2,0.066666667
3,0.066666667
4,0.066666667
5,0.066666667
6,0.066666667
7,0.066666667
8,0.066666667
9,0.066666667
10,0.066666667
11,0.066666667
12,0.066666667
13,0.066666667
14,0.066666667
15,0.066666667
16,0.013157895
17,0.013157895
18,0.013157895
19,0.013157895
20,0.013157895
21,0.013157895
22,0.013157895
23,0.013157895
24,0.013157895
25,0.013157895
26,0.013157895
27,0.013157895
28,0.013157895
29,0.013157895
30,0.013157895
31,0.013157895
32,0.013157895
33,0.013157895
34,0.013157895
35,0.013157895
36,0.013157895
37,0.013157895
38,0.013157895
39,0.013157895
40,0.013157895
41,0.013157895
42,0.013157895
43,0.013157895
44,0.013157895
45,0.013157895
46,0.013157895
47,0.013157895
48,0.013157895
49,0.013157895
50,0.013157895
51,0.013157895
52,0.013157895
53,0.013157895
54,0.013157895
55,0.013157895
56,0.013157895
57,0.013157895
58,0.013157895
59,0.013157895
60,0.013157895
61,0.013157895
62,0.013157895
63,0.013157895
64,0.013157895
65,0.013157895
66,0.013157895
67,0.013157895
68,0.013157895
69,0.013157895
70,0.013157895
71,0.013157895
72,0.013157895
73,0.013157895
74,0.013157895
75,0.013157895
76,0.013157895
77,0.013157895
78,0.013157895
79,0.013157895
80,0.013157895
81,0.013157895
82,0.013157895
83,0.013157895
84,0.013157895
85,0.013157895
86,0.013157895
87,0.013157895
88,0.013157895
89,0.013157895
90,0.013157895
91,0.013157895
92,0.111111111
93,0.111111111
94,0.111111111
95,0.111111111
96,0.111111111
97,0.111111111
98,0.111111111
99,0.111111111
100,0.111111111
101,0.5
102,0.5
103,0.5
104,0.5
105,0.001117318
106,0.001117318
107,0.001117318
108,0.001117318
109,0.001117318
110,0.001117318
111,0.001117318
112,0.001117318
113,0.001117318
114,0.001117318
115,0.001117318
116,0.001117318
117,0.001117318
118,0.001117318
119,0.001117318
120,0.001117318
121,0.001117318
122,0.001117318
123,0.001117318
124,0.001117318
125,0.001117318
126,0.001117318
127,0.001117318
128,0.001117318
129,0.001117318
130,0.001117318
131,0.001117318
132,0.001117318
133,0.001117318
134,0.001117318
135,0.001117318
136,0.001117318
137,0.001117318
138,0.001117318
139,0.001117318
140,0.001117318
141,0.001117318
142,0.001117318
143,0.001117318
144,0.001117318
145,0.001117318
146,0.001117318
147,0.001117318
148,0.001117318
149,0.001117318
150,0.001117318
151,0.001117318
152,0.001117318
