1,3088
2,2649
3,2654
4,5610
5,2654
6,8000
7,5058
8,7588
9,1561
10,1956
11,7118
12,7596
13,7178
14,16381
15,11184
16,11937
17,5095
18,17058
19,1340
20,5597
21,839
22,2416
23,5341
24,5866
25,5394
26,4728
27,9846
28,4915
29,3531
30,2939
31,4433
32,8869
33,6743
34,3977
35,3196
36,3951
37,2358
38,2338
39,5385
40,3752
41,7459
42,5386
43,12757
44,6227
45,4298
46,6326
47,5315
48,5415
49,2317
50,1184
51,710
52,3741
53,594
54,1765
55,5421
56,4939
57,2598
58,2524
59,5702
60,5581
61,4628
62,5231
63,4389
64,465
65,2451
66,1744
67,6920
68,2930
69,3923
70,5939
